id_„ÓÓ‰‡;√ÓÓ‰;ƒ‡Ú‡;“ÂÏÔÂ‡ÚÛ‡;id_ÔÓ„Ó‰˚
473382;Vishnyakovskiye Dachi;2018-10-26 22:51:43+03:00;1;800
473535;Vinogradovo;2018-10-26 22:51:43+03:00;0;804
473537;Vinogradovo;2018-10-26 22:48:31+03:00;1;800
473611;Vilya;2018-10-26 22:51:43+03:00;-1;803
473627;Vilovatovo;2018-10-26 22:51:43+03:00;1;802
473856;Veydelevka;2018-10-26 22:51:44+03:00;1;801
473903;Vetluzhskiy;2018-10-26 22:51:44+03:00;0;804
473904;Vetluzhskiy;2018-10-26 22:51:44+03:00;0;804
473910;Vetluga;2018-10-26 22:51:44+03:00;0;804
473936;Vetchi;2018-10-26 22:48:47+03:00;0;803
473943;Vesyegonsk;2018-10-26 22:51:44+03:00;-3;800
474004;Veshchevo;2018-10-26 22:51:44+03:00;0;800
474059;Veselyy;2018-10-26 22:51:45+03:00;7;500
474290;Verkhozim;2018-10-26 22:51:45+03:00;1;802
474354;Verkhovazhye;2018-10-26 22:51:45+03:00;0;804
474370;Verkhoshizhemye;2018-10-26 22:51:45+03:00;0;803
474470;Verkhnyaya Toyma;2018-10-26 22:51:45+03:00;0;804
474473;Verkhnyaya Tishanka;2018-10-26 22:51:46+03:00;0;803
474603;Verkhnyaya Maksakovka;2018-10-26 22:51:46+03:00;0;804
474663;Kishcha;2018-10-26 22:51:46+03:00;-3;804
474669;Verkhnyaya Khava;2018-10-26 22:51:46+03:00;1;803
474743;Verkhnyaya Balkariya;2018-10-26 22:51:46+03:00;7;803
474751;Verkhnyaya Akhtuba;2018-10-26 22:48:49+03:00;5;800
474795;Verkhniy Uslon;2018-10-26 22:51:47+03:00;2;802
474902;Lakkha Nevre;2018-10-26 22:51:47+03:00;4;800
474916;Verkhniy Mamon;2018-10-26 22:51:50+03:00;1;803
474926;Verkhniy Lomov;2018-10-26 22:51:50+03:00;0;804
474931;Verkhniy Landekh;2018-10-26 22:51:50+03:00;0;804
474940;Verkhniy Kurkuzhin;2018-10-26 22:51:51+03:00;5;803
475003;Verkhniy Fiagdon;2018-10-26 22:51:51+03:00;-3;804
475030;Verkhniye Tatyshly;2018-10-26 22:51:51+03:00;3;802
475041;Verkhniye Sergi;2018-10-26 22:51:51+03:00;3;803
475060;Verkhniye Oselki;2018-10-26 22:51:52+03:00;2;803
475100;Verkhniye Kigi;2018-10-26 22:51:52+03:00;4;500
475157;Verkhniye Achaluki;2018-10-26 22:51:52+03:00;2;802
475196;Verkhniy Baskunchak;2018-10-26 22:51:52+03:00;1;800
475206;Verkhniy Avzyan;2018-10-26 22:51:52+03:00;3;500
475242;Verkhneye Zarechíye;2018-10-26 22:51:08+03:00;0;802
475279;Verkhneye Shchekotikhino;2018-10-26 22:48:34+03:00;2;804
475369;Verkhneye Kazanishche;2018-10-26 22:51:53+03:00;10;803
475438;Verkhneyarkeyevo;2018-10-26 22:51:53+03:00;3;803
475463;Verkhneuralsk;2018-10-26 22:51:53+03:00;7;803
475469;Verkhnetulomskiy;2018-10-26 22:51:53+03:00;-1;620
475614;Verkhnedneprovskiy;2018-10-26 22:51:53+03:00;1;500
475699;Vereya;2018-10-26 22:51:54+03:00;0;803
475700;Vereya;2018-10-26 22:51:54+03:00;1;800
475701;Vereya;2018-10-26 22:51:54+03:00;0;803
475868;Ventsy;2018-10-26 22:51:54+03:00;8;804
475936;Velít;2018-10-26 22:51:09+03:00;0;804
475955;Velizh;2018-10-26 22:51:54+03:00;2;500
476028;Velikovechnoye;2018-10-26 22:51:55+03:00;9;801
476046;Velikooktyabrskiy;2018-10-26 22:51:55+03:00;0;804
476055;Velikodvorskiy;2018-10-26 22:51:55+03:00;-1;803
476106;Velikent;2018-10-26 22:51:58+03:00;4;500
476252;Vedeno;2018-10-26 22:51:58+03:00;6;500
476297;Vazhiny;2018-10-26 22:51:59+03:00;-2;801
476343;Vavozh;2018-10-26 22:51:59+03:00;0;802
476350;Vavibet;2018-10-26 22:48:33+03:00;0;803
476368;Vatutino;2018-10-26 22:48:46+03:00;1;800
476548;Vasilyevskiy Mokh;2018-10-26 22:51:59+03:00;0;802
476982;Varnavino;2018-10-26 22:51:59+03:00;0;803
477004;Varlamovo;2018-10-26 22:51:59+03:00;0;800
477039;Varenikovskaya;2018-10-26 22:52:00+03:00;9;801
477279;Valerik;2018-10-26 22:52:00+03:00;5;802
477280;Valerianovsk;2018-10-26 22:52:00+03:00;3;802
477337;Vakhtan;2018-10-26 22:52:00+03:00;0;803
477340;Vakhrushi;2018-10-26 22:52:00+03:00;0;803
477424;Vad;2018-10-26 22:52:01+03:00;0;803
477440;Vacha;2018-10-26 22:52:01+03:00;0;804
477466;Uzunovo;2018-10-26 22:52:01+03:00;0;803
477579;Uyemskiy;2018-10-26 22:52:01+03:00;2;802
477682;Utsmiyurt;2018-10-26 22:52:02+03:00;7;803
477744;Utevka;2018-10-26 22:52:02+03:00;4;500
477762;Utamysh;2018-10-26 22:52:02+03:00;10;803
477774;Usvyaty;2018-10-26 22:52:02+03:00;2;500
477789;Usukhchay;2018-10-26 22:52:02+03:00;-1;501
477795;Ustyuzhna;2018-10-26 22:52:03+03:00;-3;800
477846;Ustye;2018-10-26 22:52:03+03:00;0;803
477940;Ust-Tsilma;2018-10-26 22:52:03+03:00;-1;803
477958;Ust-Shonosha;2018-10-26 22:52:03+03:00;0;803
478036;Ust-Luga;2018-10-26 22:52:04+03:00;0;801
478064;Ust-Kishert;2018-10-26 22:52:04+03:00;3;803
478132;Ust-Donetskiy;2018-10-26 22:52:04+03:00;4;800
478197;Uspenskoye;2018-10-26 22:52:04+03:00;7;802
478203;Uspenskiy;2018-10-26 22:48:49+03:00;2;802
478213;Uspenskaya;2018-10-26 22:52:04+03:00;8;804
478269;Usolye;2018-10-26 22:52:05+03:00;3;500
478297;Usogorsk;2018-10-26 22:52:05+03:00;-1;803
478344;Usisha;2018-10-26 22:52:05+03:00;10;803
478367;Ushkovo;2018-10-26 22:51:09+03:00;2;803
478532;Urzhum;2018-10-26 22:52:05+03:00;0;803
478538;Uryv-Pokrovka;2018-10-26 22:52:05+03:00;2;804
478563;Urvan;2018-10-26 22:52:06+03:00;7;803
478601;Urukh;2018-10-26 22:52:06+03:00;7;803
478620;Urshelskiy;2018-10-26 22:52:06+03:00;-1;802
478640;Urozhaynoye;2018-10-26 22:52:06+03:00;5;803
478699;Urman;2018-10-26 22:52:06+03:00;4;500
478711;Urkarakh;2018-10-26 22:52:07+03:00;-3;804
478769;Urdoma;2018-10-26 22:52:07+03:00;0;803
478781;Urazovo;2018-10-26 22:52:07+03:00;2;802
478782;Urazovka;2018-10-26 22:52:07+03:00;0;803
478849;Uralets;2018-10-26 22:52:07+03:00;4;803
478920;Upornaya;2018-10-26 22:52:08+03:00;6;500
478963;Untsukul;2018-10-26 22:52:08+03:00;0;500
478996;Uni;2018-10-26 22:52:08+03:00;0;804
479021;Undory;2018-10-26 22:52:08+03:00;2;803
479055;Umet;2018-10-26 22:52:08+03:00;1;804
479201;Ulukulevo;2018-10-26 22:52:09+03:00;6;804
479241;Ullubiyaul;2018-10-26 22:52:09+03:00;10;803
479242;Ulluaya;2018-10-26 22:52:09+03:00;10;803
479426;Ukholovo;2018-10-26 22:52:09+03:00;0;803
479442;Uinskoye;2018-10-26 22:52:09+03:00;3;802
479471;Ugra;2018-10-26 22:52:10+03:00;1;804
479512;Uglyanets;2018-10-26 22:52:10+03:00;1;803
479523;Uglovka;2018-10-26 22:52:10+03:00;-1;803
479535;Ugleuralskiy;2018-10-26 22:52:10+03:00;3;500
479537;Uglerodovskiy;2018-10-26 22:52:11+03:00;4;803
479539;Uglegorskiy;2018-10-26 22:52:11+03:00;5;500
479553;Ufimskiy;2018-10-26 22:52:11+03:00;3;804
479596;Udobnaya;2018-10-26 22:52:11+03:00;5;500
479619;Udimskiy;2018-10-26 22:52:12+03:00;0;803
479640;Udelnaya;2018-10-26 22:52:12+03:00;1;800
479685;Uchkulan;2018-10-26 22:52:12+03:00;-8;801
479850;Tyulyachi;2018-10-26 22:52:13+03:00;2;802
479871;Tyulgan;2018-10-26 22:52:13+03:00;4;803
479999;Tyarlevo;2018-10-26 22:52:13+03:00;2;803
480004;Tyapkino;2018-10-26 22:59:58+03:00;1;803
480041;Tverskaya Oblastí;2018-10-26 22:48:43+03:00;0;804
480085;Tuzha;2018-10-26 22:52:13+03:00;0;803
480267;Turki;2018-10-26 22:52:13+03:00;2;500
480301;Turgenevo;2018-10-26 22:52:14+03:00;0;803
480484;Tuma;2018-10-26 22:52:14+03:00;-1;803
480508;Tulískaya Oblast';2018-10-26 22:59:50+03:00;0;803
480637;Tukan;2018-10-26 22:52:14+03:00;3;500
480654;Tugolesskiy Bor;2018-10-26 22:52:14+03:00;-1;803
480704;Tubinskiy;2018-10-26 22:52:14+03:00;7;803
480798;Tsurib;2018-10-26 22:52:15+03:00;-3;804
480804;Tsumadinskiy Rayon;2018-10-26 22:57:46+03:00;-2;804
480884;Tsilna;2018-10-26 22:52:15+03:00;2;803
481007;Tsentoroy;2018-10-26 22:52:15+03:00;6;500
481117;Tsagan Aman;2018-10-26 22:52:15+03:00;2;800
481181;Trunovskoye;2018-10-26 22:52:16+03:00;7;802
481439;Trosna;2018-10-26 22:52:16+03:00;2;804
481491;Troitskoye;2018-10-26 22:50:55+03:00;2;800
481492;Troitskoye;2018-10-26 22:59:53+03:00;1;800
481498;Troitskoye;2018-10-26 22:52:16+03:00;1;800
481501;Troitskoye;2018-10-26 22:48:57+03:00;0;803
481542;Troitskoye;2018-10-26 22:52:16+03:00;7;500
481543;Troitskoye;2018-10-26 22:52:16+03:00;4;802
481548;Troitsko-Pechorsk;2018-10-26 22:52:17+03:00;0;804
481580;Troitskiy;2018-10-26 22:52:17+03:00;2;500
481603;Troitskaya;2018-10-26 22:48:50+03:00;2;803
481604;Troitskaya;2018-10-26 22:52:17+03:00;9;801
481725;Tretíya Rota;2018-10-26 22:48:33+03:00;9;803
481900;Tpig;2018-10-26 22:52:17+03:00;-3;804
481938;Tovarkovskiy;2018-10-26 22:52:18+03:00;0;804
481955;Totskoye;2018-10-26 22:52:18+03:00;5;803
482096;Torfyanoy;2018-10-26 22:52:18+03:00;0;803
482123;Torbeyevo;2018-10-26 22:52:18+03:00;0;804
482219;Tonshayevo;2018-10-26 22:52:18+03:00;0;803
482230;Tonkino;2018-10-26 22:52:19+03:00;0;803
482275;Tomarovka;2018-10-26 22:52:19+03:00;4;803
482309;Tolstoy-Yurt;2018-10-26 22:52:19+03:00;5;802
482432;Tolbazy;2018-10-26 22:52:19+03:00;6;804
482589;Tlyarata;2018-10-26 22:52:19+03:00;10;520
482742;Tishchenskoye;2018-10-26 22:52:19+03:00;7;802
482761;Tirlyanskiy;2018-10-26 22:52:20+03:00;4;801
482986;Tim;2018-10-26 22:52:20+03:00;3;803
482992;Tiliktino;2018-10-26 22:50:56+03:00;2;800
483150;Tetyushi;2018-10-26 22:52:20+03:00;2;801
483269;Terskol;2018-10-26 22:49:10+03:00;-10;800
483281;Terskaya;2018-10-26 22:52:20+03:00;4;800
483341;Ternovka;2018-10-26 22:52:20+03:00;0;803
483379;Teriberka;2018-10-26 22:52:21+03:00;1;804
483386;Tereze;2018-10-26 22:52:21+03:00;4;801
483439;Terekli-Mekteb;2018-10-26 22:52:21+03:00;6;801
483575;Teploye;2018-10-26 22:52:21+03:00;0;803
483613;Teplaya Gora;2018-10-26 22:52:22+03:00;2;500
483642;Tengushevo;2018-10-26 22:52:22+03:00;0;803
483650;Temyasovo;2018-10-26 22:52:22+03:00;7;803
483654;Temíyaní;2018-10-26 22:59:57+03:00;1;803
483689;Temkino;2018-10-26 22:52:22+03:00;1;803
483691;Temizhbekskaya;2018-10-26 22:52:22+03:00;8;804
483692;Temizhbekskaya;2018-10-26 22:52:23+03:00;8;804
483696;Temirgoyevskaya;2018-10-26 22:52:23+03:00;8;803
483699;Temiraul;2018-10-26 22:52:23+03:00;6;500
483828;Tekstilíshchik;2018-10-26 22:49:14+03:00;1;800
483873;Teberda;2018-10-26 22:52:23+03:00;-8;801
484017;Tatsinskiy;2018-10-26 22:52:24+03:00;5;500
484127;Tatarskaya Kargala;2018-10-26 22:52:24+03:00;3;800
484162;Tatarka;2018-10-26 22:52:24+03:00;7;802
484232;Tashla;2018-10-26 22:52:24+03:00;3;803
484290;Tarumovka;2018-10-26 22:52:24+03:00;7;804
484296;Tarskoye;2018-10-26 22:52:25+03:00;2;802
484314;Tarnogskiy Gorodok;2018-10-26 22:52:25+03:00;0;803
484334;Tarki;2018-10-26 22:52:25+03:00;10;803
484340;Tarkhovka;2018-10-26 22:52:25+03:00;2;803
484367;Taremskoye;2018-10-26 22:52:26+03:00;1;804
484449;Tarasovka;2018-10-26 22:50:57+03:00;1;800
484644;Tambovka;2018-10-26 22:52:26+03:00;2;802
484674;Tamala;2018-10-26 22:52:26+03:00;0;804
484720;Talovyy;2018-10-26 22:52:26+03:00;4;803
484747;Talovaya;2018-10-26 22:52:26+03:00;1;802
484770;Talitsy;2018-10-26 22:52:27+03:00;0;803
484912;Taganskiy;2018-10-26 22:50:56+03:00;1;803
485064;Syumsi;2018-10-26 22:52:27+03:00;0;803
485140;Syrtych;2018-10-26 22:52:27+03:00;4;500
485153;Syrskoye;2018-10-26 22:52:27+03:00;0;803
485162;Syrostan;2018-10-26 22:52:27+03:00;6;802
485206;Syntul;2018-10-26 22:52:28+03:00;-1;802
485215;Synya;2018-10-26 22:52:28+03:00;0;804
485230;Sylva;2018-10-26 22:52:28+03:00;5;803
485273;Sychevo;2018-10-26 22:52:28+03:00;0;804
485275;Sychevo;2018-10-26 22:48:41+03:00;2;800
485280;Sychevka;2018-10-26 22:52:28+03:00;0;803
485304;Syava;2018-10-26 22:52:29+03:00;0;803
485351;Syamzha;2018-10-26 22:52:29+03:00;0;803
485449;Svobodnyy;2018-10-26 22:52:29+03:00;2;803
485516;Sviyazhsk;2018-10-26 22:52:29+03:00;2;802
485643;Svetlyy Yar;2018-10-26 22:52:29+03:00;5;800
485763;Sverdlovskiy;2018-10-26 22:52:30+03:00;1;800
485785;Sven;2018-10-26 22:52:30+03:00;1;803
485799;Svecha;2018-10-26 22:52:30+03:00;0;803
486043;Surskoye;2018-10-26 22:52:30+03:00;0;803
486073;Surovatikha;2018-10-26 22:52:30+03:00;1;804
486110;Surkhakhi;2018-10-26 22:51:10+03:00;2;802
486137;Surgut;2018-10-26 22:52:31+03:00;1;800
486148;Surazh;2018-10-26 22:52:31+03:00;2;804
486163;Sura;2018-10-26 22:52:31+03:00;0;803
486178;Suponevo;2018-10-26 22:52:32+03:00;1;803
486203;Sunzha;2018-10-26 22:52:32+03:00;2;802
486236;Suna;2018-10-26 22:52:32+03:00;0;803
486398;Sulak;2018-10-26 22:52:33+03:00;10;803
486413;Suksun;2018-10-26 22:52:33+03:00;3;804
486626;Sukhodol;2018-10-26 22:52:33+03:00;1;800
486645;Sukhobezvodnoye;2018-10-26 22:52:33+03:00;0;804
486665;Sukhinichi;2018-10-26 22:51:10+03:00;1;803
486725;Sukhaya Buyvola;2018-10-26 22:52:37+03:00;7;802
486816;Sudzha;2018-10-26 22:52:37+03:00;2;500
486848;Sudislavl;2018-10-26 22:52:37+03:00;-1;801
486874;Suda;2018-10-26 22:52:37+03:00;-1;803
486894;Subkhankulovo;2018-10-26 22:52:38+03:00;2;800
486983;Stulovo;2018-10-26 22:52:38+03:00;0;804
487110;Strugi-Krasnyye;2018-10-26 22:52:38+03:00;1;802
487159;Strizhi;2018-10-26 22:52:38+03:00;0;803
487246;Strelka;2018-10-26 22:52:39+03:00;9;801
487255;Strelitsa;2018-10-26 22:52:39+03:00;1;803
487321;Strakhovo;2018-10-26 22:59:58+03:00;1;803
487464;Stodolishche;2018-10-26 22:52:39+03:00;2;500
487498;Sterlibashevo;2018-10-26 22:52:39+03:00;3;804
487543;Stepnoye;2018-10-26 22:52:40+03:00;3;800
487629;Stepantsevo;2018-10-26 22:52:40+03:00;0;803
487837;Stavrovo;2018-10-26 22:52:40+03:00;0;803
487871;Staryy Urukh;2018-10-26 22:52:41+03:00;7;803
487928;Staryy Oskol;2018-10-26 22:48:37+03:00;2;500
488128;Staryye Atagi;2018-10-26 22:52:41+03:00;5;802
488142;Staryy Cherek;2018-10-26 22:52:41+03:00;7;803
488206;Starozhilovo;2018-10-26 22:52:41+03:00;0;803
488214;Staroyuryevo;2018-10-26 22:52:42+03:00;1;803
488466;Staroye Drozhzhanoye;2018-10-26 22:52:42+03:00;0;802
488587;Starovelichkovskaya;2018-10-26 22:52:42+03:00;9;801
488608;Starotimoshkino;2018-10-26 22:52:42+03:00;0;803
488618;Starosubkhangulovo;2018-10-26 22:52:43+03:00;3;500
488706;Staropavlovskaya;2018-10-26 22:52:43+03:00;5;803
